N;threads;time_ms;ops
200;1;4;16000000
200;2;4;16000000
200;4;2;16000000
200;8;3;16000000
400;1;41;128000000
400;2;23;128000000
400;4;12;128000000
400;8;13;128000000
800;1;580;1024000000
800;2;397;1024000000
800;4;202;1024000000
800;8;137;1024000000
1200;1;3285;3456000000
1200;2;1588;3456000000
1200;4;1160;3456000000
1200;8;613;3456000000
1600;1;8666;8192000000
1600;2;6593;8192000000
1600;4;3493;8192000000
1600;8;2262;8192000000
2000;1;21511;16000000000
2000;2;11176;16000000000
2000;4;6025;16000000000
2000;8;5238;16000000000
